"attempt_id","match_id","question_no","player_id","question_id","question_key","bank_id","category_id","level_key","result_id","computable","correct","quesito_attempt","quesito_won","notes","active","source","source_event_id"
"A0005","P2026-08-18","5","J3","LI-001","B2026-08-18|LI-001","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna.","true","historical_seed",""
"A0026","P2026-08-18","26","J3","AL-016","B2026-08-18|AL-016","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","true","false","pregunta de quesito rosa; J3 falló y no obtuvo el quesito rosa.","true","historical_seed",""
"A0029","P2026-08-18","29","J3","FI-006","B2026-08-18|FI-006","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J3 acertó.","true","historical_seed",""
"A0030","P2026-08-18","30","J3","HI-018","B2026-08-18|HI-018","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","ACI","true","true","true","true","pregunta de quesito amarillo; J3 acertó y obtuvo el quesito amarillo.","true","historical_seed",""
"A0031","P2026-08-18","31","J3","FI-016","B2026-08-18|FI-016","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","true","false","pregunta de quesito azul; J3 falló y no obtuvo el quesito azul.","true","historical_seed",""
"A0034","P2026-08-18","34","J3","AL-001","B2026-08-18|AL-001","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito rosa; J3 acertó y obtuvo el quesito rosa.","true","historical_seed",""
"A0035","P2026-08-18","35","J3","FI-011","B2026-08-18|FI-011","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J3 falló.","true","historical_seed",""
"A0040","P2026-08-18","40","J3","FI-019","B2026-08-18|FI-019","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|NIC","FAL","true","false","true","false","pregunta de quesito azul; J3 falló y no obtuvo el quesito azul.","true","historical_seed",""
"A0049","P2026-08-18","49","J3","IN-011","B2026-08-18|IN-011","B2026-08-18","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito naranja; J3 acertó y obtuvo el quesito naranja.","true","historical_seed",""
"A0050","P2026-08-18","50","J3","LI-011","B2026-08-18|LI-011","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J3 acertó.","true","historical_seed",""
"A0051","P2026-08-18","51","J3","NE-008","B2026-08-18|NE-008","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J3 falló.","true","historical_seed",""
"A0056","P2026-08-18","56","J3","HI-008","B2026-08-18|HI-008","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J3 falló.","true","historical_seed",""
"A0061","P2026-08-18","61","J3","HI-012","B2026-08-18|HI-012","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J3 falló.","true","historical_seed",""
"A0069","P2026-08-18","69","J3","NE-017","B2026-08-18|NE-017","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna; J3 falló.","true","historical_seed",""
