"attempt_id","match_id","question_no","player_id","question_id","question_key","bank_id","category_id","level_key","result_id","computable","correct","quesito_attempt","quesito_won","notes","active","source","source_event_id"
"A0001","P2026-08-18","1","J1","HI-015","B2026-08-18|HI-015","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna.","true","historical_seed",""
"A0058","P2026-08-18","58","J1","LI-017","B2026-08-18|LI-017","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|AUT","ACI","true","true","false","false","ninguna; J1 acertó.","true","historical_seed",""
"A0059","P2026-08-18","59","J1","FI-015","B2026-08-18|FI-015","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna; J1 falló.","true","historical_seed",""
"A0062","P2026-08-18","62","J1","HI-014","B2026-08-18|HI-014","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó.","true","historical_seed",""
"A0063","P2026-08-18","63","J1","FI-007","B2026-08-18|FI-007","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó.","true","historical_seed",""
"A0064","P2026-08-18","64","J1","IN-006","B2026-08-18|IN-006","B2026-08-18","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito naranja; J1 acertó y obtuvo el quesito naranja.","true","historical_seed",""
"A0065","P2026-08-18","65","J1","AL-006","B2026-08-18|AL-006","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó","true","historical_seed",""
"A0066","P2026-08-18","66","J1","HI-011","B2026-08-18|HI-011","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J1 falló.","true","historical_seed",""
"A0070","P2026-08-18","70","J1","IN-004","B2026-08-18|IN-004","B2026-08-18","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó.","true","historical_seed",""
"A0071","P2026-08-18","71","J1","LI-008","B2026-08-18|LI-008","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó.","true","historical_seed",""
"A0072","P2026-08-18","72","J1","LI-012","B2026-08-18|LI-012","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó.","true","historical_seed",""
"A0073","P2026-08-18","73","J1","NE-018","B2026-08-18|NE-018","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna; J1 falló.","true","historical_seed",""
