exposure_id,match_id,bank_id,question_key,question_id,player_id,question_no,type,counts_as_attempt,reason,source,active,source_event_id
IMP-E-e172c58ff17ed139,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-001,FL-001,J2,5,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-e172c58ff17ed139
IMP-E-c900d05d32fa9ada,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-072,DE-072,J2,6,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-c900d05d32fa9ada
IMP-E-35a9fa6e399ab7b0,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-003,AL-003,J3,7,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-35a9fa6e399ab7b0
IMP-E-07c28cd9f7370bfb,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-002,FL-002,J3,8,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-07c28cd9f7370bfb
IMP-E-1eca0e8e66c3f066,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-001,GA-001,J3,9,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-1eca0e8e66c3f066
IMP-E-b1aa50569a97cf0d,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-002,DR-002,J3,10,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-b1aa50569a97cf0d
IMP-E-c6b7b79dc15cc35b,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-091,DR-091,J1,11,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-c6b7b79dc15cc35b
IMP-E-6f86eb6e806d579c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-003,DR-003,J2,12,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-6f86eb6e806d579c
IMP-E-9fa4928a4d3016df,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-018,AL-018,J2,13,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-9fa4928a4d3016df
IMP-E-4e495a77a27f8d01,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-008,AL-008,J2,14,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-4e495a77a27f8d01
IMP-E-116fd25bfa7efe50,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-004,DR-004,J2,15,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-116fd25bfa7efe50
IMP-E-5382270567423762,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-001,DE-001,J3,16,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-5382270567423762
IMP-E-814e5d76956fb78f,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-003,FL-003,J3,17,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-814e5d76956fb78f
IMP-E-34ad6b9b865f0bf9,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-091,GA-091,J1,18,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-34ad6b9b865f0bf9
IMP-E-96a1aae02bf13a53,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-021,AL-021,J2,19,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-96a1aae02bf13a53
IMP-E-5bfb6850134d46a3,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-005,DR-005,J2,20,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-5bfb6850134d46a3
IMP-E-58aa6e4ecbcf5c7c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-021,HI-021,J2,21,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-58aa6e4ecbcf5c7c
IMP-E-c40147161601846c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-006,DR-006,J3,22,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-c40147161601846c
IMP-E-a38000b73c273027,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-002,DE-002,J3,23,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-a38000b73c273027
IMP-E-f755273145ff5d39,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-023,HI-023,J3,24,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-f755273145ff5d39
IMP-E-44ebc76f2005a1e3,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-073,DE-073,J3,25,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-44ebc76f2005a1e3
IMP-E-dcaf3393d5636cd6,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-023,AL-023,J1,26,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-dcaf3393d5636cd6
IMP-E-74b769cf587e3b1c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-007,DR-007,J1,27,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-74b769cf587e3b1c
IMP-E-20f1f626ed059711,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-024,HI-024,J1,28,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-20f1f626ed059711
IMP-E-71b32db042540294,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-004,FL-004,J1,29,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-71b32db042540294
IMP-E-daba8099a8a758e9,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-024,AL-024,J1,30,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-daba8099a8a758e9
IMP-E-b3e0a1d9378d5f9f,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-025,HI-025,J1,31,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-b3e0a1d9378d5f9f
IMP-E-fa98ddcd8dec4571,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-002,GA-002,J2,32,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-fa98ddcd8dec4571
IMP-E-a957d93f58edfcea,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-026,HI-026,J2,33,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-a957d93f58edfcea
IMP-E-2a429f0f1809f3a1,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-025,AL-025,J2,34,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-2a429f0f1809f3a1
IMP-E-446ddfc61ef337a9,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-027,HI-027,J2,35,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-446ddfc61ef337a9
IMP-E-4f37d5f51ae493f1,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-008,DR-008,J3,36,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-4f37d5f51ae493f1
IMP-E-2e2e5d9574662b5e,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-003,GA-003,J1,37,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-2e2e5d9574662b5e
IMP-E-44f83d23e4aac6c6,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-005,FL-005,J1,38,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-44f83d23e4aac6c6
IMP-E-712f94290feb5baa,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-022,HI-022,J1,39,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-712f94290feb5baa
IMP-E-a128fd98370508a6,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-026,AL-026,J2,40,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-a128fd98370508a6
IMP-E-546bc732d69310b5,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-028,HI-028,J2,41,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-546bc732d69310b5
IMP-E-b6d9c057a25aad99,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-071,DR-071,J2,42,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-b6d9c057a25aad99
IMP-E-09604b4bc9de2de3,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-090,HI-090,J3,43,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-09604b4bc9de2de3
IMP-E-a46230e2d6608bb6,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-004,GA-004,J1,44,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-a46230e2d6608bb6
IMP-E-e05d447c154d43e2,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-091,HI-091,J1,45,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-e05d447c154d43e2
IMP-E-fad3987c4f4fc26c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-006,FL-006,J2,46,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-fad3987c4f4fc26c
IMP-E-aa96ffc89bf55f7a,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-005,GA-005,J2,47,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-aa96ffc89bf55f7a
IMP-E-24d74d95befd405c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-007,FL-007,J2,48,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-24d74d95befd405c
IMP-E-f716d77e8d0850be,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-006,GA-006,J2,49,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-f716d77e8d0850be
IMP-E-0f326778e4a42330,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-029,HI-029,J2,50,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-0f326778e4a42330
IMP-E-bbb2ed41919f068c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-008,FL-008,J2,51,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-bbb2ed41919f068c
IMP-E-c33f0cb42b89563a,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-074,DE-074,J3,52,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-c33f0cb42b89563a
IMP-E-4dbed2b75ba67769,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-092,GA-092,J1,53,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-4dbed2b75ba67769
IMP-E-71396e27e27a28ea,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-072,DR-072,J1,54,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-71396e27e27a28ea
IMP-E-6ef190801ba84a46,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-009,FL-009,J1,55,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-6ef190801ba84a46
IMP-E-412e03fee9a57163,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-007,GA-007,J1,56,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-412e03fee9a57163
IMP-E-066e33261d035ec4,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-027,AL-027,J1,57,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-066e33261d035ec4
IMP-E-f3236bb198b95868,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-003,DE-003,J1,58,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-f3236bb198b95868
IMP-E-e09208768079e0fa,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-008,GA-008,J2,59,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-e09208768079e0fa
IMP-E-e6bd73d1485f72df,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-093,GA-093,J2,60,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-e6bd73d1485f72df
IMP-E-d61f50bfdf02a61a,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-009,GA-009,J3,61,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-d61f50bfdf02a61a
IMP-E-bd8eeb99c355a491,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-009,DR-009,J3,62,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-bd8eeb99c355a491
IMP-E-278a75a862bdcf77,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-030,HI-030,J1,63,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-278a75a862bdcf77
IMP-E-af3cd228aaefed14,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-022,AL-022,J2,64,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-af3cd228aaefed14
IMP-E-c7666b1583e03a1d,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-010,FL-010,J3,65,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-c7666b1583e03a1d
IMP-E-8a8fd01c7720489c,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-011,FL-011,J1,66,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-8a8fd01c7720489c
IMP-E-bc13303df81e1f81,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-010,GA-010,J2,67,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-bc13303df81e1f81
IMP-E-5411eb60e3e50d66,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-028,AL-028,J2,68,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-5411eb60e3e50d66
IMP-E-59557b02b078e977,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|GA-071,GA-071,J2,69,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-59557b02b078e977
IMP-E-6c2ac677117ade93,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-004,DE-004,J2,70,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-6c2ac677117ade93
IMP-E-ed8160e4ddaa3370,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|FL-012,FL-012,J2,71,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-ed8160e4ddaa3370
IMP-E-3ea12d8b96ecec47,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-010,DR-010,J2,72,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-3ea12d8b96ecec47
IMP-E-bfeb1cd5a1f580fc,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-091,AL-091,J3,73,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-bfeb1cd5a1f580fc
IMP-E-a99a78d1703bc097,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-031,HI-031,J1,74,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-a99a78d1703bc097
IMP-E-25d63a1b782e9c10,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-005,DE-005,J2,75,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-25d63a1b782e9c10
QUALITY-IN-002,,B2026-08-18,B2026-08-18|IN-002,IN-002,,,quality_quarantine,false,respuesta_incluida_en_enunciado,auditoria_2026-08-28,true,
